Time,sim_label,seed,t_stop,Ts,nT,nu,ny,n,params_A_1_1,params_A_2_1,params_A_1_2,params_A_2_2,params_B_1_1,params_B_2_1,params_B_1_2,params_B_2_2,params_C_1,params_C_2,params_D_1,params_D_2,obs_1,obs_2,obs_3,epsilon,sigma_M,sigma_wp_1,sigma_wp_2,KF1_P0_1_1,KF1_P0_2_1,KF1_P0_1_2,KF1_P0_2_2,KF1_Q_1_1,KF1_Q_2_1,KF1_Q_1_2,KF1_Q_2_2,KF1_R,KF2_P0_1_1,KF2_P0_2_1,KF2_P0_1_2,KF2_P0_2_2,KF2_Q_1_1,KF2_Q_2_1,KF2_Q_1_2,KF2_Q_2_2,KF2_R,KF3_P0_1_1,KF3_P0_2_1,KF3_P0_1_2,KF3_P0_2_2,KF3_Q_1_1,KF3_Q_2_1,KF3_Q_1_2,KF3_Q_2_2,KF3_R,RMSE_x_est_1_KF1,RMSE_x_est_2_KF1,RMSE_y_est_KF1,RMSE_x_est_1_KF2,RMSE_x_est_2_KF2,RMSE_y_est_KF2,RMSE_x_est_1_KF3,RMSE_x_est_2_KF3,RMSE_y_est_KF3
08-Jun-2022 13:33:50,rod_obs_sim1_3KF_Q_03_03,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,3.16e-06,0.01,1000,0,0,1000,0.01,0,0,0.0316,0.01,1000,0,0,1000,0.01,0,0,0.000316,0.01,1.75626005651817,0.722438104019306,0.52687801695545,0.31415011865182,0.208629814329238,0.094245035595546,0.54837909397694,0.289239215329152,0.164513728193082
08-Jun-2022 13:33:52,rod_obs_sim1_3KF_Q_03_04,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00013335,0.01,1000,0,0,1000,0.01,0,0,1.3335,0.01,1000,0,0,1000,0.01,0,0,0.013335,0.01,0.68035047811838,0.332400882624565,0.204105143435514,0.525873236444914,0.354300348234735,0.157761970933474,0.299922824805837,0.204472697946077,0.0899768474417512
08-Jun-2022 13:33:54,rod_obs_sim1_3KF_Q_03_05,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,1e-05,0.01,1000,0,0,1000,0.01,0,0,0.1,0.01,1000,0,0,1000,0.01,0,0,0.001,0.01,1.29984997486,0.550998191699645,0.389954992458001,0.362964164485283,0.233717128438663,0.108889249345585,0.416093074012945,0.246856311107618,0.124827922203884
08-Jun-2022 13:33:55,rod_obs_sim1_3KF_Q_03_06,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00017783,0.01,1000,0,0,1000,0.01,0,0,1.7783,0.01,1000,0,0,1000,0.01,0,0,0.017783,0.01,0.633034912032331,0.316777366916468,0.189910473609699,0.540765913273052,0.366686631713522,0.162229773981915,0.302146272700429,0.204625850298357,0.0906438818101287
08-Jun-2022 13:33:57,rod_obs_sim1_3KF_Q_03_07,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,1.778e-05,0.01,1000,0,0,1000,0.01,0,0,0.1778,0.01,1000,0,0,1000,0.01,0,0,0.001778,0.01,1.12401186079843,0.486730512132579,0.33720355823953,0.396597206399231,0.255231021572128,0.118979161919769,0.368346442619484,0.231269992069748,0.110503932785845
08-Jun-2022 13:33:58,rod_obs_sim1_3KF_Q_03_08,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00031623,0.01,1000,0,0,1000,0.01,0,0,3.1623,0.01,1000,0,0,1000,0.01,0,0,0.031623,0.01,0.548280006387597,0.2892072673418,0.164484001916279,0.565016086997287,0.387103734255574,0.169504826099186,0.314171191705666,0.208638233074722,0.0942513575117
08-Jun-2022 13:34:00,rod_obs_sim1_3KF_Q_03_09,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,3.162e-05,0.01,1000,0,0,1000,0.01,0,0,0.3162,0.01,1000,0,0,1000,0.01,0,0,0.003162,0.01,0.973774316323488,0.433034261694196,0.292132294897046,0.434033417424255,0.281805618521747,0.130210025227276,0.333071326350686,0.219113363671186,0.0999213979052055
08-Jun-2022 13:34:02,rod_obs_sim1_3KF_Q_03_10,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.001,0.01,1000,0,0,1000,0.01,0,0,10,0.01,1000,0,0,1000,0.01,0,0,0.1,0.01,0.416093074012945,0.246856311107618,0.124827922203884,0.593058518727197,0.41102609613388,0.17791755561816,0.362964164485282,0.233717128438663,0.108889249345585
08-Jun-2022 13:34:03,rod_obs_sim1_3KF_Q_03_11,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,5.623e-05,0.01,1000,0,0,1000,0.01,0,0,0.5623,0.01,1000,0,0,1000,0.01,0,0,0.005623,0.01,0.843982134849208,0.387758750866219,0.253194640454763,0.472702576578085,0.311337832959219,0.141810772973425,0.310512395131323,0.21042188210871,0.0931537185393969
08-Jun-2022 13:34:05,rod_obs_sim1_3KF_Q_03_12,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00316228,0.01,1000,0,0,1000,0.01,0,0,31.6228,0.01,1000,0,0,1000,0.01,0,0,0.316228,0.01,0.333066876595285,0.219111756965745,0.0999200629785856,0.603865466027618,0.420318562773201,0.181159639808285,0.434039346717387,0.281810002796684,0.130211804015217
