k,t,U_1,U_2,V,W_1,W_2,X_1,X_2,X_est_1,X_est_2,X_est_3,X_est_4,X_est_5,X_est_6,Y,Y_m,Y_est_1,Y_est_2,Y_est_3,E_obs_1,E_obs_2,E_obs_3,Pd,alpha
498,249,1,0.019408428580738,0.153243523684254,0,0,-0.461737579916841,-1.1216297857525,0.0598011332984844,-0.94285103082707,0.498783070343188,-0.464676272789363,-0.31915442587774,-1.07591183935244,-0.138521273975052,0.0147222497092013,0.0179403399895453,0.149634921102956,-0.0957463277633219,-0.156461613964598,-0.288156195078009,-0.0427749462117303,-1.1216297857525,0
499,249.5,1,-0.0107938786183783,-0.043620325869317,-0,-0,-0.44484609169429,-1.10222135717176,0.0972879826029486,-0.943140525626652,0.218485745070041,-0.840263718775696,-0.0978489153497602,-0.995448419921897,-0.133453827508287,-0.177074153377604,0.0291863947808846,0.0655457235210123,-0.0293546746049281,-0.162640222289172,-0.198999551029299,-0.104099152903359,-1.10222135717176,0
500,250,1,-0.00662326966858645,0.0471342881064946,0,0,-0.413613621357767,-1.11301523579014,0.0146051583217695,-0.961695429575612,-0.884998248790557,-1.51570049553266,-0.33335134733456,-1.10304475772668,-0.12408408640733,-0.0769497983008355,0.00438154749653084,-0.265499474637167,-0.100005404200368,-0.128465633903861,0.141415388229837,-0.0240786822069622,-1.11301523579014,0
501,250.5,1,-0.00261507366650127,0.0109859457364363,-0,-0,-0.402544770740579,-1.11963850545873,0.00501334402621538,-0.969011881135463,-0.204438146812362,-0.99079137732221,-0.294342214382773,-1.08625144934737,-0.120763431222174,-0.109777485485737,0.00150400320786461,-0.0613314440437087,-0.0883026643148319,-0.122267434430038,-0.059431987178465,-0.0324607669073419,-1.11963850545873,0
502,251,1,0.0240666251204535,-0.00982356815997888,-0,0,-0.401419844977134,-1.12225357912523,-0.0250416493654925,-0.979022604719987,-0.373048275453354,-1.12566177003909,-0.331456473164263,-1.10189334121024,-0.12042595349314,-0.130249521653119,-0.00751249480964774,-0.111914482636006,-0.099436941949279,-0.112913458683492,-0.00851147085713401,-0.0209890115438612,-1.12225357912523,0
503,251.5,1,0.000399400209287906,0.165964938221987,-0,0,-0.403247470609224,-1.09818695400478,-0.0622199428281567,-0.990063852134455,-0.477305087110727,-1.17670523693776,-0.390108417520765,-1.12433669642647,-0.120974241182767,0.04499069703922,-0.018665982848447,-0.143191526133218,-0.117032525256229,-0.10230825833432,0.0222172849504511,-0.00394171592653768,-1.09818695400478,0
504,252,1,-0.0209055147978017,-0.176266302527583,0,-0,-0.380460183431233,-1.09778755379549,0.000440520947186378,-0.984337388244144,0.418128420389218,-0.652819082648488,-0.101916937806125,-1.00632175687237,-0.11413805502937,-0.290404357556953,0.000132156284155913,0.125438526116765,-0.0305750813418375,-0.114270211313526,-0.239576581146135,-0.0835629736875324,-1.09778755379549,0
505,252.5,1,0.000644743592497499,-0.0174908692589434,0,0,-0.364109682197352,-1.11869306859329,-0.139475229263627,-1.01047363754687,-1.41290592534995,-1.81049660098005,-0.551536555785163,-1.19557695061859,-0.109232904659205,-0.126723773918149,-0.0418425687790881,-0.423871777604986,-0.165460966735549,-0.0673903358801173,0.31463887294578,0.0562280620763434,-1.11869306859329,0
506,253,1,0.0200167895026082,-0.0877430139477546,-0,-0,-0.373569846131436,-1.11804832500079,-0.153520422053845,-1.01810942937662,-0.332682250518693,-0.983257331075244,-0.511004197764733,-1.16736144296435,-0.112070953839431,-0.199813967787185,-0.0460561266161536,-0.099804675155608,-0.15330125932942,-0.0660148272232772,-0.0122662786838228,0.041230305489989,-1.11804832500079,0
507,253.5,1,0.0345532178278712,-0.00715374236978393,0,0,-0.379547217292798,-1.09803153549818,-0.207839023203077,-1.0319412648866,-0.709823165767544,-1.26167621053517,-0.60989359825775,-1.20124050301126,-0.113864165187839,-0.121017907557623,-0.062351706960923,-0.212946949730263,-0.182968079477325,-0.0515124582269163,0.0990827845424239,0.0691039142894857,-1.09803153549818,0
